sno,name,rating,price,num_reviews,Description,ASIN,Manufacturer,url
11,Zebronics Zeb-Power Wired USB,4.0,97,"6,449",,B07L9FW9GF,‎SINOMAX ELECTRONICS LIMITED,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NjQ3MjQwNTcxMTY1MjAwOjE2OTEyNzMwODI6c3BfbXRmOjIwMTU2NDcwMDYzMTk4OjowOjo&url=%2FZebronics-Zeb-Power-Wired-Mouse-Black%2Fdp%2FB07L9FW9GF%2Fref%3Dsr_1_11_sspa%3Fcrid%3D39QCIRY4VLJHD%26keywords%3Dmouse%26qid%3D1691273082%26sprefix%3Dmouse%252Caps%252C208%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
12,HP X200 Wireless,4.1,698,"9,769",,B083RCTXLL,‎HP,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NjQ3MjQwNTcxMTY1MjAwOjE2OTEyNzMwODI6c3BfbXRmOjIwMDQ2MzE0NDUwODk4OjowOjo&url=%2FHP-Wireless-Mouse-X200-6VY95AA%2Fdp%2FB083RCTXLL%2Fref%3Dsr_1_12_sspa%3Fcrid%3D39QCIRY4VLJHD%26keywords%3Dmouse%26qid%3D1691273082%26sprefix%3Dmouse%252Caps%252C208%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
13,Portronics Toad Ergo Vertical Advanced Wireless Ergonomic,3.7,580,757,,B0BTPXTYYZ,‎Portronics,https://www.amazon.in/Portronics-Vertical-Advanced-Ergonomic-Adjustable/dp/B0BTPXTYYZ/ref=sr_1_13?crid=39QCIRY4VLJHD&keywords=mouse&qid=1691273082&sprefix=mouse%2Caps%2C208&sr=8-13
14,ZEBRONICS Zeb-Dash Plus 2.4GHz High Precision Wireless,3.5,197,"14,261",,B08YDFX7Y1,‎Zebronics India Private Limited,https://www.amazon.in/ZEBRONICS-Zeb-Dash-Wireless-Receiver-Buttons/dp/B08YDFX7Y1/ref=sr_1_14?crid=39QCIRY4VLJHD&keywords=mouse&qid=1691273082&sprefix=mouse%2Caps%2C208&sr=8-14
15,Logitech B100 Wired USB,4.3,297,"34,081",,B003L62T7W,‎Logitech Asia Pacific Ltd,https://www.amazon.in/Logitech-B100-Optical-Mouse-Black/dp/B003L62T7W/ref=sr_1_15?crid=39QCIRY4VLJHD&keywords=mouse&qid=1691273082&sprefix=mouse%2Caps%2C208&sr=8-15
16,Logitech M221 Wireless,4.4,743,"37,803",,B01M72LILF,‎Logitech,https://www.amazon.in/Logitech-Silent-Wireless-Mouse-Charcoal/dp/B01M72LILF/ref=sr_1_16?crid=39QCIRY4VLJHD&keywords=mouse&qid=1691273082&sprefix=mouse%2Caps%2C208&sr=8-16
17,HP 150 Wireless,4.0,448,"5,772",,B09GB5B4BK,‎HP Inc.,https://www.amazon.in/HP-150-Ambidextrous-Wireless-Mouse/dp/B09GB5B4BK/ref=sr_1_17?crid=39QCIRY4VLJHD&keywords=mouse&qid=1691273082&sprefix=mouse%2Caps%2C208&sr=8-17
18,"ASUS MD100 Marshmallow/Silent, Adj. DPI, Multi-Mode, with Solar Cover Wireless Optical",4.5,1297,138,,B0BRSTHNPV,‎ASUS,https://www.amazon.in/ASUS-MD100-Marshmallow-Quiet-Blue/dp/B0BRSTHNPV/ref=sr_1_18?crid=39QCIRY4VLJHD&keywords=mouse&qid=1691273082&sprefix=mouse%2Caps%2C208&sr=8-18
19,HP M270 Backlit USB Wired Gaming,4.2,411,"2,997",,B08497Z1MQ,‎HP,https://www.amazon.in/HP-M270-Gaming-Mouse-7ZZ87AA/dp/B08497Z1MQ/ref=sr_1_19?crid=39QCIRY4VLJHD&keywords=mouse&qid=1691273082&sprefix=mouse%2Caps%2C208&sr=8-19
20,Zebronics Zeb-Alex Wired USB Optical,3.9,117,"6,906",,B07XBSX9X2,‎SINOMAX ELECTRONICS LIMITED,https://www.amazon.in/Zebronics-Zeb-Alex-Wired-Optical-Buttons/dp/B07XBSX9X2/ref=sr_1_20?crid=39QCIRY4VLJHD&keywords=mouse&qid=1691273082&sprefix=mouse%2Caps%2C208&sr=8-20
