url,name,price,num_reviews,Description,ASIN,Manufacturer,rating
https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNzQ1ODU0NDU5NjMzMTIzOjE2OTA3MDQyMTg6c3BfYXRmX25leHQ6MjAxMzU0MDU4NjM4OTg6OjA6Og&url=%2FFUR-JADEN-Backpack-Compartment-Organizer%2Fdp%2FB0BYSZ3TKW%2Fref%3Dsr_1_50_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1690704218%26sprefix%3Dba%252Caps%252C283%26sr%3D8-50-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,FUR JADEN Anti Theft Number Lock Backpack,799,117,"Stay organized all day with a durable and lightweight backpack from Fur Jaden. This back pack is a stylish and functional accessory for men and women. Can add admiration to an appealing and daring personality with a remarkable aesthetics and functionality. This backpack features an anti-theft design. You can also charge your phone on the go and organize your stuff like pro. Fur Jaden functional back pack is apt to protect your gadgets and belongings from being stolen while you travel, thanks to its special anti-theft design. Now keep your belongings safe with style. The backpack features multiple compartments that you may use for your laptop and other essentials. A remarkable feature of this backpack allows you to charge your phone while you are on the move. With an attached charging dock in the back you may connect a portable power bank with ease. Weighing about 600grams, this backpack is lightweight. The backpack is able to house a laptop of up to 15.6 inches and has seven inner compartments to place your other essentials. Made from durable quality polymer this Fur Jaden back pack is sturdy and reliable. Flaunt this bag with style and low maintenance as this bag is washable. This backpack is also suitable for school or college. The straps are designed to distribute the weight equally on each shoulder preventing any sort of discomfort. Use this back pack for office, college/school or during travels.",B0BYSZ3TKW,FUR JADEN,4.4
https://www.amazon.in/ADISA-BP010-Weight-Casual-Backpack/dp/B07MXL986B/ref=sr_1_51?crid=2M096C61O4MLT&keywords=bags&qid=1690704218&sprefix=ba%2Caps%2C283&sr=8-51,ADISA 32 Ltrs Water Resistant Casual Travel Bagpack/College Backpack/School Office,499,"4,045",,B07MXL986B,Visit the ADISA Store,4.0
https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BPVCBFM7/ref=sr_1_52?crid=2M096C61O4MLT&keywords=bags&qid=1690704218&sprefix=ba%2Caps%2C283&sr=8-52,ADISA 32L Large Laptop Backpack Office,646,276,,B0BPVCBFM7,,3.9
https://www.amazon.in/Half-Moon-Backpack-Spacious-Multiple/dp/B0C23Z9W18/ref=sr_1_53?crid=2M096C61O4MLT&keywords=bags&qid=1690704218&sprefix=ba%2Caps%2C283&sr=8-53,Half Moon Aztec 37L School,649,174,,B0C23Z9W18,Visit the Half Moon Store,3.6
https://www.amazon.in/Martucci-Casual-Travelling-Laptop-Backpack/dp/B088B4P6ZW/ref=sr_1_54?crid=2M096C61O4MLT&keywords=bags&qid=1690704218&sprefix=ba%2Caps%2C283&sr=8-54,Martucci 15.6 inch 30 L Casual Waterproof Laptop Backpack/Office,549,"7,683",,B088B4P6ZW,,3.9
https://www.amazon.in/STRABO-Cooper-Laptop-Bag-Capacity/dp/B0BX9SVT1D/ref=sr_1_55?crid=2M096C61O4MLT&keywords=bags&qid=1690704218&sprefix=ba%2Caps%2C283&sr=8-55,"STRABO Cooper for Boys Girls Stylish Men and Women Casual 15"" inch 25L CANVAS Laptop BACKPACK | Office, College, Travel",699,53,"Strabo Cooper is a classy Laptop Backpack, ergonomically designed for all ages, genders and purposes which houses everything in one large compartments & one exterior pocket.This backpack is especially designed for today's fast paced world,where everything should be compact and lightweight. This backpack is perfect for everyday usage such as college, school, tuitions, or short holiday trips.",{},STRABO,4.4
https://www.amazon.in/NORTH-ZONE-Lightweight-Backpacks-Stylish/dp/B0BL3TVDK6/ref=sr_1_56?crid=2M096C61O4MLT&keywords=bags&qid=1690704218&sprefix=ba%2Caps%2C283&sr=8-56,Northzone Lightweight school,549,133,"NORTHZONE BACKPACK If you carry your laptop to and from work, then this laptop bag from Northzone will definitely make travelling easier. Compatibility This backpack can fit a 38.1 cm laptop comfortably. Compartments This bag has three spacious compartments to store the laptop, charger, external devices, and other accessories with ease. Pockets The two mesh pockets on either sides of this black and blue backpack allow you to store a water bottle, ID card and other knick-knacks, so you can access them easily.",B0BL3TVDK6,NORTH ZONE,4.0
https://www.amazon.in/Half-Moon-Laptop-Bag-Compartment/dp/B0C1NZLF67/ref=sr_1_57?crid=2M096C61O4MLT&keywords=bags&qid=1690704218&sprefix=ba%2Caps%2C283&sr=8-57,Half Moon Valex Unisex School,649,75,,B0C1NZLF67,Visit the Half Moon Store,3.6
https://www.amazon.in/Tabelito-Laptop-Backpack-15-6-inch-Repellent/dp/B08Y5S6C2P/ref=sr_1_58?crid=2M096C61O4MLT&keywords=bags&qid=1690704218&sprefix=ba%2Caps%2C283&sr=8-58,"TABELITO Casual Laptop Backpack 15.6-inch, 25 LTR Water Repellent",549,683,,B08Y5S6C2P,Tabelito,4.0
https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNzQ1ODU0NDU5NjMzMTIzOjE2OTA3MDQyMTg6c3BfbXRmOjMwMDAwNjc4OTY3NzQzMjo6MDo6&url=%2FWALKENT-Waterproof-Polyester-Material-Hazel%2Fdp%2FB0C7KP5BT4%2Fref%3Dsr_1_59_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1690704218%26sprefix%3Dba%252Caps%252C283%26sr%3D8-59-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"WALKENT 15.6"" Laptop",1990,,"Looking for a stylish and practical laptop bag? Look no further than WALKENT'S HAZEL laptop bag! Our Hazel bag features a sleek and modern design, while still providing all the functionality you need to stay organized and comfortable throughout your day. Here are some of its key features:✅ Waterproof and scratch resistant Special New Silk Polyester outer material that keeps your belongings safe from the elements✅ A spacious 20-liter capacity and lightweight 800-gram design make this bag perfect for daily use, whether you're commuting to work or heading to class✅ Side bottle pocket for easy access to your drink, as well as front pockets and organizer pockets inside the bag to keep all of your essentials at hand✅ Cushioned shoulder straps and laptop compartment keep you comfortable and your laptop protected✅ Trolley strap allows you to attach the Hazel to your luggage for easy transportationDon't settle for a boring, uninspired laptop bag. Upgrade to Walkent's Hazel bag and enjoy both style and functionality. It's the perfect choice for anyone looking for a premium quality laptop bag for office or college use, whether you're a man or a woman.",B0C7KP5BT4,Visit the WALKENT Store,
https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNzQ1ODU0NDU5NjMzMTIzOjE2OTA3MDQyMTg6c3BfbXRmOjMwMDAwNjgyMjEyNjYzMjo6MDo6&url=%2FWALKENT-Premium-Support-Pockets-Elprine%2Fdp%2FB0C7KP65DP%2Fref%3Dsr_1_60_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1690704218%26sprefix%3Dba%252Caps%252C283%26sr%3D8-60-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"WALKENT Premium 15.6"" Laptop",4990,,"Introducing the WALKENT ELRPINE Laptop Backpack, a perfect combination of style and functionality. This premium laptop bag is designed to meet the needs of modern professionals and college students alike. With a capacity of 28 liters, it provides ample space to store your laptop and other essentials. Here are some key features that make the Walkent Elrpine stand out:Bold and Stylish Design: The front of the bag features a bold and stylish design that is sure to turn heads and make a statement.Waterproof and Scratch Resistant Material:The outer material of the bag is made of waterproof and scratch-resistant polyester, ensuring the safety of your laptop and other essentials in all weather conditions. Cushioned Shoulder Straps:  The cushioned shoulder straps provide maximum comfort, even when carrying the bag for extended periods. Front Utility Pockets: Keep your accessories organized and within easy reach with the front utility pockets. Front Chest Straps: The front chest straps ensure easy load distribution, reducing the strain on your back and shoulders. Hidden Waterproof Zipper: The hidden waterproof zipper adds an extra layer of protection to your belongings. Stylish and Fashionable: The Walkent Elrpine laptop backpack is not only functional, but also stylish and fashionable, making it the perfect choice for office and college use by men.Don't settle for just any laptop bag. Choose the best with the Walkent Elrpine, the premium laptop backpack that combines style and functionality to meet all your needs.",B0C7KP65DP,Visit the WALKENT Store,
